,中央政府：预算,中央政府：预算：收入,中央政府：预算：支出
国家或地区,约旦,约旦,约旦
单位,百万约旦第纳尔,百万约旦第纳尔,百万约旦第纳尔
平均,-705.624,3973.741,4679.365
方差,287504.903,3053075.209,4599872.872
标准差,536.195,1747.305,2144.731
偏度,-0.766,0.349,0.092
峰度,-0.605,-0.89,-1.597
变异系数,-0.76,0.44,0.458
最小,-1823.8,1787.9,1937.1
最大,-149.2,7267.6,7851.1
中位数,-583.5,3971.5,4586
观测次数,17,17,17
1999,-149.2,1787.9,1937.1
2000,-201.9,1804.7,2006.6
2001,-227.8,1929.8,2157.6
2002,-263.7,2018.8,2282.5
2003,-182.1,2373.6,2555.7
2004,-155.1,2920.2,3075.3
2005,-476.8,3062.1,3538.9
2006,-443.6,3468.7,3912.3
2007,-614.5,3971.5,4586
2008,-692.7,4738.3,5431
2009,-1509.3,4521.2,6030.5
2010,-1044.1,4663.9,5708
2011,-1380.8,5415.8,6796.6
2012,-1823.8,5054.4,6878.2
2013,-1318.2,5758.9,7077.1
2014,-583.5,7267.6,7851.1
2015,-928.5,6796.2,7724.7
