,贸易差额,进口 ,出口
国家或地区,约旦,约旦,约旦
单位,千约旦第纳尔,千约旦第纳尔,千约旦第纳尔
平均,-5107905.722,4326784.614,1780555.864
方差,9.95631E+12,2.42077E+13,4.00286E+12
标准差,3155361.51,4920128.114,2000714.698
偏度,-0.321,1.3,1.073
峰度,-1.284,0.332,-0.351
变异系数,-0.618,1.137,1.124
最小,-10326973,96775,17004
最大,-1336491,16280189,5953216
中位数,-5039607.5,2408104,929923
观测次数,18,44,44
1972,,96775,17004
1973,,108200,18983
1974,,156457,49752
1975,,229013,48996
1976,,339539,68708
1977,,454417,82064
1978,,458826,90910
1979,,589523,120916
1980,,715977,171446
1981,,1047505,242632
1982,,1142493,264527
1983,,1103310,210581
1984,,1071340,290660
1985,,1074445,310886
1986,,850199,256029
1987,,916330,315587
1988,,1022469,381497
1989,,1230010,637622
1990,,1725828,654072
1991,,1710463,770745
1992,,2214002,829303
1993,,2453625,864661
1994,,2362583,995185
1995,,2590250,1241132
1996,,3043556,1288171
1997,,2908085,1301388
1998,-1436475,2714374,1277899
1999,-1336491,2635207,1298716
2000,-1912822,3259404,1346582
2001,-1826997,3453729,1626732
2002,-1635218,3599160,1963942
2003,-1887136,4072008,2184872
2004,-3046218,5799241,2753023
2005,-4393302,7442864,3049563
2006,-4497844,8187725,3689881
2007,-5658553,9722194,4063641
2008,-6427890,12060895,5633005
2009,-5581371,10107696,4526325
2010,-6060009,11050126,4990117
2011,-7755636,13440215,5684579
2012,-9134276,14733749,5599472
2013,-10049321,15667344,5618023
2014,-10326973,16280189,5953216
2015,-8975771,14537183,5561413
