,工业生产：数量：采矿业和采石业,工业生产：数量：采矿业和采石业：碳酸钾,工业生产：数量：采矿业和采石业：磷酸盐
国家或地区,约旦,约旦,约旦
单位,千吨,千吨,千吨
平均,6727.48,1589.137,5416.442
方差,4406704.084,214118.756,2174927.938
标准差,2099.215,462.73,1474.764
偏度,-0.86,-0.995,-0.836
峰度,0.455,1.219,0.7
变异系数,0.312,0.291,0.272
最小,1768,282.8,1768
最大,10618.451,2354.956,8263.495
中位数,7249,1728.36,5809.45
观测次数,40,33,40
1976,1768,,1768
1977,1771.1,,1771.1
1978,2320.7,,2320.7
1979,2845.5,,2845.5
1980,3906.8,,3906.8
1981,4243.7,,4243.7
1982,4390.4,,4390.4
1983,5031.3,282.8,4748.5
1984,6700,486.9,6213.1
1985,6975.7,908.6,6067.1
1986,7352.9,1103.7,6249.2
1987,8048.8,1203.4,6845.4
1988,6927.1,1298.9,5628.2
1989,8006.3,1370.7,6635.6
1990,7163.2,1415.1,5748.1
1991,5911.9,1451.1,4460.8
1992,5556.7,1260.8,4295.9
1993,5668,1446.2,4221.8
1994,5764.3,1545,4219.3
1995,6763.9,1780,4983.9
1996,7186.8,1765.3,5421.5
1997,7311.2,1415.6,5895.6
1998,7456.7,1526.9,5929.8
1999,7813.8,1800.2,6013.6
2000,7442.4,1936.3,5506.1
2001,7840.7,1962.6,5878.1
2002,9063.4,1956.2,7107.2
2003,8723.4,1961.1,6762.3
2004,8151.9,1929,6222.9
2005,8203.8,1829.1,6374.7
2006,7570.2,1699.4,5870.8
2007,7335.8,1794.4,5541.4
2008,8270.23,2004.63,6265.6
2009,6275.5,1122.6,5152.9
2010,8462.2,1933.5,6528.7
2011,9852.5,2258.6,7593.9
2012,8206.336,1823.436,6382.9
2013,7002.515,1728.36,5274.155
2014,9195.069,2086.151,7108.918
2015,10618.451,2354.956,8263.495
