,石油和天然气生产：国内：原油,石油和天然气生产：国内：天然气,电力生产
国家或地区,约旦,约旦,约旦
单位,千石油吨当量,十亿立方英尺,吉瓦时
平均,2.574,7.87,9241.385
方差,12.967,5.181,21300273.45
标准差,3.601,2.276,4615.222
偏度,3.253,-0.224,0.573
峰度,10.759,-1.348,-0.983
变异系数,1.399,0.289,0.499
最小,0.5,3.7,3433
最大,17,10.9,18269
中位数,1.5,7.8,7771.5
观测次数,27,27,26
1989,11.1,3.7,3433
1990,17,5.5,3638
1991,7,5.5,3724
1992,3,6,4422
1993,1.5,6.9,4761
1994,1.5,10,5076
1995,1.4,10,5616
1996,1.8,9.7,6060
1997,1.8,10.7,6264
1998,1.9,10.9,6745
1999,1.8,10.8,7081
2000,1.8,10.3,7378
2001,1.6,9.9,7549
2002,1.5,9,8132
2003,1.4,10.2,7994
2004,1.2,10.4,8967
2005,1.1,8.5,9654
2006,1.2,8.9,11120
2007,1.2,7.7,13001
2008,1.7,7.2,13838
2009,1.5,7.8,14272
2010,1.2,6.5,14777
2011,0.9,6.4,14647
2012,1.1,5.8,16596
2013,1,5.3,17262
2014,0.8,4.6,18269
2015,0.5,4.3,
