,市价总值
国家或地区,约旦
单位,约旦第纳尔
平均,16865522402
方差,7.19026E+19
标准差,8479540136
偏度,-0.077
峰度,-0.405
变异系数,0.503
最小,3457919098
最大,40406249508
中位数,18691934460
观测次数,201
01/2000,4081832777
02/2000,3990220209
03/2000,3853593248
04/2000,3707013724
05/2000,3724114407
06/2000,3665295600
07/2000,3571277515
08/2000,3483810268
09/2000,3457919098
10/2000,3523895585
11/2000,3501151007
12/2000,3509640709
01/2001,3574017233
02/2001,3612306604
03/2001,3623481188
04/2001,3574721320
05/2001,3718250129
06/2001,3721069367
07/2001,3817634810
08/2001,3940620370
09/2001,4039400630
10/2001,4303002618
11/2001,4460595479
12/2001,4476364817
01/2002,4550072206
02/2002,4489767637
03/2002,4446609518
04/2002,4279102738
05/2002,4500266405
06/2002,4780737457
07/2002,4733391630
08/2002,4622594866
09/2002,4523442875
10/2002,4399272231
11/2002,5046026385
12/2002,5023953990
01/2003,5080533910
02/2003,4842170605
03/2003,5016010940
04/2003,5374928015
05/2003,5579846649
06/2003,5884509225
07/2003,6398371875
08/2003,6734377128
09/2003,6995559700
10/2003,6839103481
11/2003,7574352687
12/2003,7772750866
01/2004,8521960574
02/2004,8573414676
03/2004,8250560022
04/2004,8082463731
05/2004,8256376519
06/2004,8579550906
07/2004,9041921853
08/2004,9035142012
09/2004,9590912961
10/2004,10656835878
11/2004,12573850071
12/2004,13031763515
01/2005,15244008511
02/2005,15512356993
03/2005,17178738225
04/2005,21027600713
05/2005,20634896052
06/2005,23237754485
07/2005,25118428994
08/2005,26177246834
09/2005,25235765969
10/2005,26503079948
11/2005,29097645379
12/2005,26667097118
01/2006,27960506917
02/2006,26285146036
03/2006,24773275952
04/2006,24704934397
05/2006,24511910416
06/2006,22556658119
07/2006,22230802053
08/2006,23582100925
09/2006,23146494678
10/2006,23212002393
11/2006,21479202867
12/2006,21078237222
01/2007,23396380273
02/2007,24877926762
03/2007,23511230365
04/2007,22955263711
05/2007,22567195377
06/2007,22389696496
07/2007,22109829246
08/2007,21848847163
09/2007,22318444683
10/2007,25818336100
11/2007,27086854435
12/2007,29214202327
01/2008,30355033240
02/2008,32744862154
03/2008,31396979323
04/2008,33830480115
05/2008,36021795747
06/2008,40406249508
07/2008,40142119842
08/2008,37538556002
09/2008,35037905116
10/2008,28017345775
11/2008,24698678012
12/2008,25406265528
01/2009,24352780024
02/2009,23074143581
03/2009,23151145260
04/2009,23291357676
05/2009,25977729429
06/2009,24294222559
07/2009,23490499875
08/2009,23701288656
09/2009,24112247201
10/2009,23233066527
11/2009,22982527404
12/2009,22526919428
01/2010,22191744126
02/2010,21672620393
03/2010,21715691312
04/2010,22173689604
05/2010,20921204940
06/2010,20787433135
07/2010,20565927880
08/2010,20114284998
09/2010,20798280671
10/2010,21159226195
11/2010,21207084858
12/2010,21858181603
01/2011,21775357338
02/2011,20829161915
03/2011,20271917812
04/2011,20570777300
05/2011,20384712889
06/2011,19722934185
07/2011,20102005646
08/2011,19682683778
09/2011,18944307868
10/2011,19320358148
11/2011,18691934460
12/2011,19272757327
01/2012,18426235394
02/2012,18822490457
03/2012,19442831779
04/2012,19325927487
05/2012,18399844909
06/2012,18353785210
07/2012,18208949625
08/2012,19182517974
09/2012,18977535688
10/2012,18972862300
11/2012,19059077395
12/2012,19141521210
01/2013,19787096870
02/2013,19622529843
03/2013,19732576131
04/2013,19010865457
05/2013,19096176007
06/2013,18461824503
07/2013,18219380912
08/2013,17243225961
09/2013,16489889402
10/2013,17588987628
11/2013,17960440857
12/2013,18233491417
01/2014,19470497388
02/2014,18994921276
03/2014,18937935760
04/2014,18983455580
05/2014,19153974327
06/2014,18749216552
07/2014,18815312942
08/2014,18306099227
09/2014,18156324855
10/2014,18084947921
11/2014,17793787353
12/2014,18082617433
01/2015,17827710621
02/2015,17876180100
03/2015,17226823472
04/2015,16985126723
05/2015,18096009247
06/2015,17695558448
07/2015,17816113335
08/2015,17976605654
09/2015,17252512867
10/2015,17136595227
11/2015,16879861290
12/2015,17984673970
01/2016,17656521151
02/2016,17407968186
03/2016,17427934122
04/2016,16828002754
05/2016,17055723532
06/2016,16810768511
07/2016,16875759696
08/2016,16668409955
09/2016,16813679873
